Chemical Name
Caffeic acid
Chlorogenic acid
Chlorogenic acid methyl ester
Caffeic acid n-butyl ester
1-O-caffeoyl quinic acid
3-O-caffeoyl quinic butyl ester
4-O-caffeoyl quinic acid
5-O-caffeoylquinic acid butyl ester
1,3-di-O-caffeyl quinic acid
3,4-di-O-caffeoyl quinic acid
4,5-di-O-caffeoyl quinic acid
Macranthoin F
Macranthoin G
4,5-di-O-caffeoyl quinic acid methyl ester
Trans-cinnamic acid
Trans-ferulic acid
